Millis,Load_Cell,Linear_Pot,Thermocouple
7778,-0.01,217,-127.00
7888,0.01,216,-127.00
8000,0.03,216,-127.00
8112,0.00,216,-127.00
8222,-0.00,216,-127.00
98,0.01,217,0.00
109,0.02,217,-127.00
220,0.01,217,-127.00
331,-0.01,217,-127.00
442,0.01,216,-127.00
553,0.02,216,-127.00
665,-0.00,217,-127.00
776,-0.00,216,-127.00
887,0.01,216,-127.00
998,0.00,216,-127.00
1110,0.01,216,-127.00
1220,-0.01,216,-127.00
1332,-0.01,216,-127.00
1443,0.01,216,-127.00
1554,-0.00,216,-127.00
1666,0.00,216,-127.00
1776,0.62,221,-127.00
1888,1.71,219,-127.00
1999,3.00,242,-127.00
2110,3.59,267,-127.00
2222,6.09,349,-127.00
2332,20.43,463,-127.00
2444,22.02,602,-127.00
2555,21.62,731,-127.00
2666,19.05,869,-127.00
2778,15.36,954,-127.00
2889,9.65,991,-127.00
3000,-2.15,968,-127.00
3111,-5.30,889,-127.00
3223,-7.64,769,-127.00
3334,-9.31,625,-127.00
3445,-9.48,474,-127.00
3557,-7.78,342,-127.00
3667,-5.55,251,-127.00
3779,-2.24,218,-127.00
3890,2.73,240,-127.00
4001,5.65,320,-127.00
4113,20.05,446,-127.00
4224,21.81,583,-127.00
4335,21.99,724,-127.00
4447,19.19,854,-127.00
4557,15.40,945,-127.00
4669,10.71,987,-127.00
4781,-0.60,976,-127.00
4891,-4.73,905,-127.00
5003,-7.10,793,-127.00
5114,-9.05,653,-127.00
5225,-9.60,504,-127.00
5337,-8.22,365,-127.00
5447,-5.94,266,-127.00
5559,-3.25,219,-127.00
5670,2.69,231,-127.00
5781,4.39,298,-127.00
5893,16.84,407,-127.00
6004,21.33,547,-127.00
6115,21.64,690,-127.00
6226,19.87,822,-127.00
6338,16.78,924,-127.00
6449,11.91,982,-127.00
6560,2.71,985,-127.00
6672,-3.93,930,-127.00
6782,-6.51,826,-127.00
6894,-8.67,670,-127.00
7005,-9.43,547,-127.00
7116,-8.61,403,-127.00
7228,-7.21,309,-127.00
7339,-3.99,227,-127.00
7450,0.75,220,-127.00
7562,3.19,271,-127.00
7672,12.14,369,-127.00
7784,21.19,511,-127.00
7896,22.31,645,-127.00
8006,21.09,793,-127.00
8118,17.78,903,-127.00
8229,13.18,973,-127.00
8340,7.03,989,-127.00
8452,-3.64,943,-127.00
8562,-6.56,845,-127.00
8674,-8.56,710,-127.00
8785,-9.32,563,-127.00
8896,-8.62,420,-127.00
9008,-7.13,299,-127.00
9119,-4.55,231,-127.00
9230,-0.81,217,-127.00
9341,2.97,257,-127.00
9453,9.66,352,-127.00
9564,20.54,479,-127.00
9675,22.20,623,-127.00
9786,21.07,766,-127.00
9897,18.78,878,-127.00
10009,14.39,963,-127.00
10121,8.75,990,-127.00
10231,-2.61,962,-127.00
10343,-5.94,874,-127.00
10455,-8.31,740,-127.00
10565,-10.37,590,-127.00
10677,-9.75,442,-127.00
10788,-8.21,317,-127.00
10899,-5.48,238,-127.00
11011,-1.65,216,-127.00
11122,2.80,255,-127.00
11233,9.61,345,-127.00
11344,20.56,473,-127.00
11456,22.38,613,-127.00
11567,21.39,736,-127.00
11678,18.32,877,-127.00
11790,14.41,961,-127.00
11901,9.50,990,-127.00
12012,-2.64,964,-127.00
12124,-5.49,881,-127.00
12235,-7.95,759,-127.00
12346,-9.67,606,-127.00
12457,-9.27,440,-127.00
12569,-7.77,333,-127.00
12680,-5.34,243,-127.00
12791,-2.26,216,-127.00
12903,2.68,243,-127.00
13015,5.87,333,-127.00
13125,19.78,443,-127.00
13237,22.03,586,-127.00
13348,21.61,740,-127.00
13459,19.45,857,-127.00
13571,15.45,948,-127.00
13682,10.02,989,-127.00
13794,-1.12,972,-127.00
13904,-5.02,893,-127.00
14016,-7.61,789,-127.00
14128,-9.60,634,-127.00
14238,-9.77,481,-127.00
14350,-7.97,346,-127.00
14461,-5.46,314,-127.00
14572,-2.46,216,-127.00
14684,2.49,239,-127.00
14795,4.95,297,-127.00
14906,19.08,422,-127.00
15017,21.43,559,-127.00
15129,22.01,706,-127.00
15240,19.66,836,-127.00
15351,16.34,935,-127.00
15463,11.46,986,-127.00
15575,0.48,979,-127.00
15685,-4.73,916,-127.00
15797,-7.25,815,-127.00
15908,-9.02,661,-127.00
16019,-9.64,509,-127.00
16131,-8.35,370,-127.00
16242,-6.21,269,-127.00
16353,-3.08,199,-127.00
16464,2.26,234,-127.00
16576,3.92,291,-127.00
16687,15.60,398,-127.00
16798,21.20,537,-127.00
16910,21.87,685,-127.00
17021,19.95,818,-127.00
17132,16.82,923,-127.00
17244,11.88,980,-127.00
17355,4.14,987,-127.00
17466,-3.75,934,-127.00
17577,-6.68,834,-127.00
17689,-8.58,695,-127.00
17801,-9.66,548,-127.00
17911,-8.77,405,-127.00
18023,-6.92,291,-127.00
18135,-4.27,227,-127.00
18245,0.82,220,-127.00
18357,3.22,272,-127.00
18468,13.04,369,-127.00
18579,20.35,499,-127.00
18691,21.56,650,-127.00
18802,20.60,783,-127.00
18913,17.89,899,-127.00
19024,13.48,970,-127.00
19136,6.60,987,-127.00
19248,-3.06,950,-127.00
19358,-6.29,855,-127.00
19470,-8.28,728,-127.00
19581,-9.61,580,-127.00
19692,-9.01,429,-127.00
19804,-7.38,307,-127.00
19915,-4.56,245,-127.00
20026,-0.13,215,-127.00
20137,2.87,270,-127.00
20249,10.83,357,-127.00
20360,20.78,489,-127.00
20471,22.45,648,-127.00
20583,20.82,779,-127.00
20695,17.95,893,-127.00
20805,13.74,968,-127.00
20917,7.72,990,-127.00
21028,-2.87,952,-127.00
21139,-6.15,858,-127.00
21251,-8.39,730,-127.00
21362,-9.25,590,-127.00
21474,-9.11,439,-127.00
21584,-7.47,335,-127.00
21696,-4.88,238,-127.00
21808,-1.62,216,-127.00
21918,2.61,255,-127.00
22030,8.71,340,-127.00
22141,20.26,467,-127.00
22252,22.50,614,-127.00
22364,21.45,758,-127.00
22475,18.67,884,-127.00
22586,14.51,962,-127.00
22697,8.10,991,-127.00
22809,-2.58,961,-127.00
22921,-5.71,877,-127.00
23031,-7.98,755,-127.00
23143,-9.58,603,-127.00
23255,-9.31,456,-127.00
23365,-7.49,328,-127.00
23477,-4.95,243,-127.00
23588,-1.70,213,-127.00
23699,2.63,245,-127.00
23811,5.62,368,-127.00
23922,19.82,446,-127.00
24033,21.94,588,-127.00
24144,21.64,735,-127.00
24256,19.03,864,-127.00
24368,14.86,952,-127.00
24478,9.45,990,-127.00
24590,-1.41,966,-127.00
24701,-5.45,902,-127.00
24812,-7.67,772,-127.00
24924,-9.26,623,-127.00
25035,-9.25,476,-127.00
25146,-7.74,355,-127.00
25257,-5.68,254,-127.00
25369,-2.66,216,-127.00
25480,2.33,238,-127.00
25591,5.03,314,-127.00
25703,19.45,432,-127.00
25815,21.60,567,-127.00
25925,21.16,713,-127.00
26037,19.18,842,-127.00
26148,16.12,935,-127.00
26259,10.94,986,-127.00
26371,1.32,981,-127.00
26482,-4.45,916,-127.00
26594,-7.24,803,-127.00
26704,-9.17,663,-127.00
26816,-9.61,511,-127.00
26928,-8.21,374,-127.00
27038,-6.06,269,-127.00
27150,-3.33,225,-127.00
27261,2.17,229,-127.00
27372,3.43,297,-127.00
27484,18.29,395,-127.00
27595,21.29,544,-127.00
27706,21.84,690,-127.00
27817,19.96,826,-127.00
27929,16.40,931,-127.00
28041,11.50,983,-127.00
28151,3.93,985,-127.00
28263,-4.06,929,-127.00
28375,-6.50,830,-127.00
28485,-8.57,694,-127.00
28597,-9.63,551,-127.00
28708,-8.80,426,-127.00
28819,-7.05,292,-127.00
28931,-4.30,221,-127.00
29042,0.90,222,-127.00
29153,2.96,268,-127.00
29264,11.37,366,-127.00
29376,20.78,499,-127.00
29488,22.13,645,-127.00
29598,20.64,785,-127.00
29710,17.93,900,-127.00
29821,13.05,969,-127.00
29932,7.03,991,-127.00
30044,-3.06,953,-127.00
30155,-6.02,850,-127.00
30266,-8.46,735,-127.00
30377,-9.42,583,-127.00
30489,-9.09,437,-127.00
30601,-7.42,314,-127.00
30711,-4.71,238,-127.00
30823,-1.23,220,-127.00
30935,2.58,246,-127.00
31045,8.83,344,-127.00
31157,20.24,471,-127.00
31268,22.25,615,-127.00
31379,21.14,760,-127.00
31491,18.45,883,-127.00
31602,14.26,959,-127.00
31714,8.72,990,-127.00
31824,-2.73,961,-127.00
31936,-5.93,874,-127.00
32048,-8.10,748,-127.00
32158,-9.67,600,-127.00
32270,-9.39,449,-127.00
32381,-7.49,323,-127.00
32492,-5.12,233,-127.00
32604,-1.35,217,-127.00
32715,2.50,249,-127.00
32826,6.20,335,-127.00
32937,19.27,456,-127.00
33049,21.51,604,-127.00
33160,20.95,740,-127.00
33271,18.74,863,-127.00
33383,14.81,953,-127.00
33495,9.58,989,-127.00
33605,-0.66,972,-127.00
33717,-5.00,900,-127.00
33828,-7.56,784,-127.00
33939,-9.15,638,-127.00
34051,-9.49,489,-127.00
34162,-7.59,365,-127.00
34273,-5.39,293,-127.00
34384,-3.95,252,-127.00
34496,-2.82,232,-127.00
34607,-1.89,223,-127.00
34718,-1.44,221,-127.00
