Millis,Load_Cell,Linear_Pot (scaled),Thermocouple
92,-0.01,6.769,
103,0.02,6.776,
113,0.04,6.769,
124,0.02,6.776,
136,0,6.776,
146,-0.02,6.769,
157,0,6.769,
167,0,6.769,
179,-0.01,6.769,
189,-0.01,6.776,
200,0.02,6.769,
210,0.03,6.776,
222,0.02,6.769,
233,0.01,6.769,
243,0,6.769,
254,-0.01,6.762,
265,0.01,6.769,
276,0,6.776,
286,-0.01,6.769,
297,0,6.769,
308,0.01,6.769,
319,0.01,6.769,
329,0,6.769,
340,-0.01,6.776,
352,0.03,6.769,
362,0.03,6.769,
373,0.01,6.776,
384,0,6.769,
395,0,6.769,
405,-0.01,6.769,
416,0,6.769,
427,0,6.769,
438,0.02,6.776,
449,0.02,6.769,
459,0.01,6.769,
471,0,6.769,
481,0.02,6.769,
492,0.02,6.776,
502,0.02,6.769,
514,0.01,6.769,
524,0.01,6.769,
535,0.02,6.762,
546,0.02,6.776,
557,0,6.769,
568,0,6.769,
578,0.01,6.776,
589,0.02,6.769,
600,0.02,6.769,
611,0.04,6.776,
621,0.01,6.769,
632,0,6.769,
644,0.01,6.769,
654,0.01,6.762,
665,-0.01,6.769,
675,0,6.776,
687,0.02,6.776,
697,0,6.776,
708,-0.02,6.769,
718,-0.01,6.776,
730,-0.01,6.776,
741,0,6.762,
751,-0.01,6.769,
762,-0.01,6.769,
773,-0.01,6.776,
784,-0.01,6.769,
794,-0.01,6.769,
805,0,6.776,
816,0,6.776,
827,0,6.769,
837,0,6.769,
848,-0.01,6.776,
860,-0.01,6.776,
870,0.02,6.776,
881,0,6.776,
891,0,6.769,
903,0.03,6.769,
913,0.03,6.762,
924,0.01,6.769,
934,0.01,6.769,
946,0,6.769,
957,-0.02,6.769,
967,-0.02,6.769,
978,0.01,6.769,
989,0.01,6.769,
1000,0.01,6.769,
1010,0.02,6.769,
1021,0.01,6.776,
1032,0.02,6.769,
1043,0.02,6.769,
1054,0.01,6.776,
1064,0.02,6.769,
1076,0.02,6.769,
1086,0.01,6.769,
1097,0.01,6.769,
1107,0.02,6.776,
1119,0,6.769,
1129,0,6.776,
1140,0.02,6.769,
1150,-0.01,6.769,
1162,-0.01,6.769,
1173,-0.01,6.769,
1183,0,6.769,
1195,0.01,6.769,
1205,-0.02,6.769,
