Millis,Load_Cell,Linear_Pot (scaled),Velocity,Thermocouple
90,0.02,6.951,0,
101,0.03,6.951,0,
111,0.03,6.951,0,
122,0.03,6.951,0,
134,0.03,6.958,0.605,
144,0.01,6.943,-1.453,
155,0.02,6.951,0.66,
165,0.02,6.951,0,
177,0.01,6.958,0.605,
187,0,6.951,-0.726,
198,0,6.951,0,
208,0,6.951,0,
220,0.01,6.951,0,
230,0.02,6.951,0,
241,0.01,6.943,-0.66,
252,0.04,6.958,1.321,
263,0.03,6.951,-0.66,
274,0,6.951,0,
284,0.01,6.951,0,
295,0,6.951,0,
306,0.01,6.951,0,
317,0.02,6.951,0,
327,0.01,6.943,-0.726,
338,0,6.943,0,
350,0.01,6.951,0.605,
360,0,6.943,-0.726,
371,0.01,6.951,0.66,
381,0.03,6.951,0,
393,0.02,6.951,0,
403,0.02,6.943,-0.726,
414,0.01,6.951,0.66,
424,-0.02,6.943,-0.726,
436,0.01,6.951,0.605,
447,0,6.958,0.66,
457,0.01,6.943,-1.453,
468,0.01,6.951,0.66,
479,0.01,6.958,0.66,
490,0.03,6.958,0,
500,0.02,6.951,-0.726,
512,0.02,6.951,0,
522,0.01,6.951,0,
533,0.01,6.958,0.66,
543,0.03,6.951,-0.726,
555,0.02,6.951,0,
566,0.03,6.951,0,
576,0.03,6.943,-0.726,
587,0.03,6.951,0.66,
598,0.03,6.951,0,
609,0.02,6.951,0,
619,-0.01,6.951,0,
630,0.01,6.951,0,
641,0.02,6.951,0,
652,0.02,6.943,-0.66,
663,0.02,6.951,0.66,
673,0,6.943,-0.726,
685,-0.01,6.951,0.605,
695,0.02,6.951,0,
706,0,6.951,0,
716,0.02,6.951,0,
728,0.01,6.951,0,
738,0.02,6.951,0,
749,0.01,6.951,0,
759,-0.01,6.951,0,
771,0.01,6.958,0.605,
782,0.04,6.951,-0.66,
792,0.04,6.951,0,
803,0.01,6.951,0,
814,0.01,6.951,0,
825,-0.01,6.951,0,
835,0,6.951,0,
846,0.01,6.951,0,
857,0.02,6.958,0.66,
868,0.01,6.951,-0.66,
879,0,6.951,0,
889,-0.02,6.951,0,
901,0.01,6.951,0,
911,0.01,6.958,0.726,
922,0.01,6.951,-0.66,
932,0.02,6.943,-0.726,
944,0,6.958,1.21,
954,0,6.951,-0.726,
965,0,6.951,0,
976,0,6.951,0,
987,0,6.951,0,
998,0,6.951,0,
1008,0,6.958,0.726,
1019,0.01,6.958,0,
1030,0.04,6.951,-0.66,
1041,0.03,6.951,0,
1051,0,6.943,-0.726,
1062,0,6.958,1.321,
1073,0.01,6.958,0,
1084,-0.02,6.951,-0.66,
1095,-0.01,6.951,0,
1105,0.01,6.958,0.726,
1117,0.03,6.951,-0.605,
1127,0.01,6.943,-0.726,
1138,0,6.951,0.66,
1148,0.02,6.951,0,
1160,0.01,6.951,0,
1170,0.03,6.943,-0.726,
1181,0,6.951,0.66,
1192,-0.01,6.951,0,
1203,-0.01,6.951,0,
1214,0,6.943,-0.66,
1224,0.01,6.951,0.726,
1235,0.03,6.951,0,
1246,0.01,6.951,0,
1257,0,6.951,0,
1267,0,6.951,0,
1278,0.02,6.951,0,
1289,0.03,6.958,0.66,
1300,0.04,6.943,-1.321,
1311,0.01,6.951,0.66,
1321,0,6.958,0.726,
1333,0.01,6.951,-0.605,
1343,0,6.943,-0.726,
1354,0.02,6.951,0.66,
1364,0.04,6.943,-0.726,
1376,-0.01,6.951,0.605,
1386,0.01,6.958,0.726,
1397,0.02,6.943,-1.321,
1409,0.01,6.951,0.605,
1419,0.04,6.943,-0.726,
1430,0,6.951,0.66,
1440,0.02,6.951,0,
1452,0.04,6.958,0.605,
1462,0.01,6.951,-0.726,
1473,0,6.958,0.66,
1483,0.01,6.958,0,
1495,0,6.943,-1.21,
1506,0.02,6.951,0.66,
1516,0.03,6.951,0,
1527,0.03,6.951,0,
1538,0.03,6.951,0,
1549,0.04,6.951,0,
1559,0.04,6.951,0,
1570,0.01,6.951,0,
1581,0.01,6.951,0,
1592,0.01,6.951,0,
1602,0,6.951,0,
1613,0.01,6.958,0.66,
1625,0.01,6.951,-0.605,
1635,0,6.943,-0.726,
1646,-0.01,6.951,0.66,
1656,0.01,6.958,0.726,
1668,0.02,6.951,-0.605,
1678,0.03,6.951,0,
1689,0.02,6.951,0,
1699,-0.01,6.958,0.726,
1711,0.01,6.951,-0.605,
1722,0.03,6.958,0.66,
1732,0.03,6.951,-0.726,
1743,0.02,6.951,0,
1754,0.01,6.951,0,
1765,0.01,6.958,0.66,
1775,-0.01,6.943,-1.453,
1786,0.01,6.951,0.66,
1797,0.01,6.951,0,
1808,-0.01,6.951,0,
1818,0,6.951,0,
1829,0.02,6.958,0.66,
1841,0.02,6.951,-0.605,
1851,0.03,6.951,0,
1862,0.02,6.951,0,
1872,0,6.943,-0.726,
1884,-0.02,6.951,0.605,
1894,-0.01,6.951,0,
1905,0.03,6.951,0,
1915,0.06,6.951,0,
1927,0.04,6.958,0.605,
1938,0.02,6.951,-0.66,
1948,0.01,6.943,-0.726,
1959,0.02,6.951,0.66,
1970,0.02,6.951,0,
1981,0.03,6.951,0,
1991,0.02,6.958,0.726,
2002,0,6.951,-0.66,
2013,0,6.951,0,
2024,0.03,6.958,0.66,
