Millis,Load_Cell,Linear_Pot (scaled),Smoothed_Velocity,Velocity,Highpass_Velocity,Thermocouple
11769,-0.01,1.656,,0,0,
11781,0.01,1.656,,0,0,
11791,0.01,1.656,,0,0,
11802,0,1.656,,0,0,
11812,0,1.656,,0,0,
11737,0.01,1.656,0,0,0,
11748,0.01,1.656,0,0,0,
11758,0,1.656,0,0,0,
11769,-0.01,1.656,0,0,0,
11781,0.01,1.656,0,0,0,
11791,0.01,1.656,0,0,0,
11802,0,1.656,0,0,0,
11812,96,0,-73.412,-165.603,,228
106,-0.02,1.656,0,0,0,
117,0,1.656,0,0,0,
129,0,1.656,0,0,0,
139,-0.01,1.656,0,0,0,
150,0,1.656,0,0,0,
160,0,1.656,0,0,0,
172,-0.01,1.656,0,0,0,
182,0.01,1.656,0,0,0,
193,0,1.663,0.306,0.66,0.66,
204,0,1.656,-0.132,-0.66,-0.66,
215,0,1.656,-0.066,0,0,
226,0.01,1.663,0.258,0.66,0.66,
236,0.01,1.656,-0.179,-0.726,-0.726,
247,0,1.656,-0.096,0,0,
258,-0.01,1.656,-0.045,0,0,
269,-0.01,1.656,-0.034,0,0,
279,-0.01,1.656,-0.027,0,0,
290,-0.01,1.656,0,0,0,
302,0,1.656,0,0,0,
312,0,1.656,0,0,0,
323,0.02,1.656,0,0,0,
333,0.03,1.656,0,0,0,
345,0.02,1.656,0,0,0,
355,0.01,1.656,0,0,0,
366,0,1.656,0,0,0,
377,-0.01,1.663,0.303,0.66,0.66,
388,0,1.656,-0.132,-0.66,-0.66,
399,0,1.656,-0.066,0,0,
409,0.01,1.656,-0.045,0,0,
420,0.02,1.656,-0.034,0,0,
431,0.01,1.656,-0.027,0,0,
442,0.02,1.663,0.303,0.66,0.66,
452,0.01,1.663,0.176,0,0,
463,0.01,1.656,-0.201,-0.66,-0.66,
475,0.02,1.656,-0.107,0,0,
485,0.02,1.656,-0.078,0,0,
496,0.02,1.656,-0.06,0,0,
506,0.01,1.656,-0.027,0,0,
518,0.02,1.656,0,0,0,
528,0.01,1.656,0,0,0,
